Type,MidSize,Count,SampleWeight,CubeRoot,TuberWeight
Commercial Crop 1,17.5,1,4.2,1.613,4.2
Commercial Crop 1,17.5,1,5.6,1.776,5.6
Commercial Crop 1,17.5,1,4.7,1.675,4.7
Commercial Crop 1,17.5,1,4.2,1.613,4.2
Commercial Crop 1,17.5,1,6.9,1.904,6.9
Commercial Crop 1,17.5,1,7,1.913,7
Commercial Crop 1,17.5,1,5.5,1.765,5.5
Commercial Crop 1,17.5,1,4.5,1.651,4.5
Commercial Crop 1,17.5,1,3.7,1.547,3.7
Commercial Crop 1,17.5,1,3.8,1.561,3.8
Commercial Crop 2,77.5,1,339.2,6.974,339.2
Commercial Crop 2,77.5,1,320.2,6.841,320.2
Commercial Crop 2,67.5,1,223,6.064,223
Commercial Crop 2,62.5,1,166.7,5.504,166.7
Commercial Crop 2,62.5,1,171.8,5.559,171.8
Commercial Crop 2,62.5,1,196.1,5.81,196.1
Commercial Crop 2,62.5,1,219.3,6.03,219.3
Commercial Crop 2,62.5,1,191.1,5.76,191.1
Commercial Crop 2,62.5,1,193.2,5.781,193.2
Commercial Crop 2,62.5,1,216.8,6.007,216.8
Commercial Crop 2,62.5,1,177.6,5.621,177.6
Commercial Crop 2,62.5,1,190.3,5.752,190.3
Commercial Crop 2,62.5,1,182.7,5.674,182.7
Commercial Crop 2,62.5,1,161.7,5.448,161.7
Commercial Crop 2,57.5,1,150.2,5.316,150.2
Commercial Crop 2,57.5,1,125,5,125
Commercial Crop 2,57.5,1,147,5.278,147
Commercial Crop 2,57.5,1,139.8,5.19,139.8
Commercial Crop 2,57.5,1,148.8,5.299,148.8
Commercial Crop 2,52.5,1,104,4.703,104
Commercial Crop 2,52.5,1,97.5,4.603,97.5
Commercial Crop 2,52.5,1,115.8,4.874,115.8
Commercial Crop 2,52.5,1,115.1,4.864,115.1
Commercial Crop 2,52.5,1,118.2,4.908,118.2
Commercial Crop 2,52.5,1,189.5,5.744,189.5
Commercial Crop 2,52.5,1,179.7,5.643,179.7
Commercial Crop 2,52.5,1,87.9,4.446,87.9
Commercial Crop 2,52.5,1,90.7,4.493,90.7
Commercial Crop 2,52.5,1,112.9,4.833,112.9
Commercial Crop 2,47.5,1,84.2,4.383,84.2
Commercial Crop 2,47.5,1,71.6,4.152,71.6
Commercial Crop 2,47.5,1,85.7,4.409,85.7
Commercial Crop 2,47.5,1,57.2,3.853,57.2
Commercial Crop 2,47.5,1,77,4.254,77
Commercial Crop 2,47.5,1,77.4,4.262,77.4
Commercial Crop 2,47.5,1,86,4.414,86
Commercial Crop 2,47.5,1,78.1,4.275,78.1
Commercial Crop 2,42.5,1,64.8,4.017,64.8
Commercial Crop 2,42.5,1,53.7,3.773,53.7
Commercial Crop 2,42.5,1,66.5,4.051,66.5
Commercial Crop 2,42.5,1,55,3.803,55
Commercial Crop 2,42.5,1,53.2,3.761,53.2
Commercial Crop 2,42.5,1,60.9,3.934,60.9
Commercial Crop 2,42.5,1,54,3.78,54
Commercial Crop 2,42.5,1,50,3.684,50
Commercial Crop 2,37.5,1,38.1,3.365,38.1
Commercial Crop 2,37.5,1,33,3.208,33
Commercial Crop 2,37.5,1,50.8,3.704,50.8
Commercial Crop 2,37.5,1,45.5,3.57,45.5
Commercial Crop 2,37.5,1,33.9,3.236,33.9
Commercial Crop 2,37.5,1,33,3.208,33
Commercial Crop 2,32.5,1,22.9,2.84,22.9
Commercial Crop 2,32.5,1,25.5,2.943,25.5
Commercial Crop 2,32.5,1,19.2,2.678,19.2
Commercial Crop 2,32.5,1,23.8,2.877,23.8
Commercial Crop 2,32.5,1,19.2,2.678,19.2
Commercial Crop 2,32.5,1,29.1,3.076,29.1
Commercial Crop 2,32.5,1,23.5,2.864,23.5
Commercial Crop 2,32.5,1,24.5,2.904,24.5
Commercial Crop 2,27.5,1,14.6,2.444,14.6
Commercial Crop 2,27.5,1,13.8,2.399,13.8
Commercial Crop 2,27.5,1,14,2.41,14
Commercial Crop 2,27.5,1,19.4,2.687,19.4
Commercial Crop 2,27.5,1,4.4,1.639,4.4
Commercial Crop 2,22.5,1,6.3,1.847,6.3
Commercial Crop 2,22.5,1,5,1.71,5
Commercial Crop 2,22.5,1,9.2,2.095,9.2
Commercial Crop 2,17.5,1,3.1,1.458,3.1
Field Sample 1,72.5,1,361.5,7.124,361.5
Field Sample 1,67.5,1,277.5,6.523,277.5
Field Sample 1,67.5,1,277,6.519,277
Field Sample 1,67.5,1,311.7,6.78,311.7
Field Sample 1,67.5,1,279.8,6.541,279.8
Field Sample 1,67.5,1,219.5,6.032,219.5
Field Sample 1,62.5,1,252.6,6.321,252.6
Field Sample 1,62.5,1,241,6.223,241
Field Sample 1,62.5,1,177.8,5.623,177.8
Field Sample 1,62.5,1,245.6,6.262,245.6
Field Sample 1,62.5,1,183.6,5.684,183.6
Field Sample 1,62.5,1,237.4,6.192,237.4
Field Sample 1,62.5,1,174,5.583,174
Field Sample 1,62.5,1,167.3,5.51,167.3
Field Sample 1,62.5,1,237.2,6.19,237.2
Field Sample 1,62.5,1,223.5,6.069,223.5
Field Sample 1,62.5,1,244.2,6.251,244.2
Field Sample 1,57.5,1,184.8,5.696,184.8
Field Sample 1,57.5,1,196.7,5.816,196.7
Field Sample 1,57.5,1,236.9,6.188,236.9
Field Sample 1,57.5,1,183.4,5.682,183.4
Field Sample 1,57.5,1,138.3,5.171,138.3
Field Sample 1,57.5,1,199.2,5.84,199.2
Field Sample 1,57.5,1,191.7,5.766,191.7
Field Sample 1,57.5,1,164.4,5.478,164.4
Field Sample 1,57.5,1,198.1,5.83,198.1
Field Sample 1,57.5,1,178.3,5.628,178.3
Field Sample 1,57.5,1,182.5,5.672,182.5
Field Sample 1,57.5,1,173.1,5.573,173.1
Field Sample 1,57.5,1,168.3,5.521,168.3
Field Sample 1,57.5,1,206.1,5.907,206.1
Field Sample 1,57.5,1,212.2,5.965,212.2
Field Sample 1,57.5,1,203.1,5.878,203.1
Field Sample 1,52.5,1,137.1,5.156,137.1
Field Sample 1,52.5,1,154.8,5.369,154.8
Field Sample 1,52.5,1,126.8,5.024,126.8
Field Sample 1,52.5,1,125.2,5.003,125.2
Field Sample 1,52.5,1,193.7,5.786,193.7
Field Sample 1,52.5,1,118.2,4.908,118.2
Field Sample 1,52.5,1,118.2,4.908,118.2
Field Sample 1,52.5,1,168.6,5.524,168.6
Field Sample 1,52.5,1,102.5,4.68,102.5
Field Sample 1,52.5,1,150.1,5.315,150.1
Field Sample 1,52.5,1,134.8,5.127,134.8
Field Sample 1,52.5,1,120.3,4.937,120.3
Field Sample 1,52.5,1,106.4,4.739,106.4
Field Sample 1,52.5,1,140.9,5.204,140.9
Field Sample 1,52.5,1,143,5.229,143
Field Sample 1,47.5,1,103.9,4.701,103.9
Field Sample 1,47.5,1,71.1,4.143,71.1
Field Sample 1,47.5,1,136.5,5.149,136.5
Field Sample 1,47.5,1,101.1,4.659,101.1
Field Sample 1,47.5,1,99,4.626,99
Field Sample 1,47.5,1,84.2,4.383,84.2
Field Sample 1,47.5,1,82.4,4.352,82.4
Field Sample 1,47.5,1,97.3,4.599,97.3
Field Sample 1,47.5,1,92.8,4.527,92.8
Field Sample 1,47.5,1,93.5,4.539,93.5
Field Sample 1,47.5,1,107.3,4.752,107.3
Field Sample 1,47.5,1,93.2,4.534,93.2
Field Sample 1,42.5,1,92.1,4.516,92.1
Field Sample 1,42.5,1,72.7,4.174,72.7
Field Sample 1,42.5,1,81,4.327,81
Field Sample 1,42.5,1,68.1,4.084,68.1
Field Sample 1,42.5,1,58,3.871,58
Field Sample 1,42.5,1,58.5,3.882,58.5
Field Sample 1,42.5,1,92.8,4.527,92.8
Field Sample 1,37.5,1,54.6,3.794,54.6
Field Sample 1,37.5,1,52.1,3.735,52.1
Field Sample 1,37.5,1,57.6,3.862,57.6
Field Sample 1,37.5,1,54.2,3.784,54.2
Field Sample 1,37.5,1,48.2,3.639,48.2
Field Sample 1,32.5,1,37.8,3.356,37.8
Field Sample 1,32.5,1,29.6,3.093,29.6
Field Sample 1,32.5,1,36.7,3.323,36.7
Field Sample 1,32.5,1,31.7,3.165,31.7
Field Sample 1,32.5,1,40,3.42,40
Field Sample 1,32.5,1,24.5,2.904,24.5
Field Sample 1,27.5,1,17.4,2.591,17.4
